#id	E	F	R	interactionType	E&Fstoichiometry	spontaneous	evidence	xref
BiochemicalReaction7724	Dna306;Protein17140	Complex8040	None	BiochemicalReaction	None	null	None	Pubmed:15087129;Pubmed:17442700;Pubmed:18832070;Pubmed:20460306;Pubmed:21801010;Reactome-Database-ID-Release-55:5635848;Reactome:R-HSA-5635848
BiochemicalReaction7725	Dna307;Protein17140	Complex8041	None	BiochemicalReaction	None	null	None	Pubmed:10075717;Pubmed:12361967;Pubmed:14723851;Pubmed:17442700;Pubmed:18832070;Pubmed:20460306;Pubmed:23719536;Reactome-Database-ID-Release-55:5635846;Reactome:R-HSA-5635846
BiochemicalReaction7717	Complex7989	Complex7991	Control903	BiochemicalReaction	None	null	None	Pubmed:16459297;Pubmed:16611981;Pubmed:19549984;Pubmed:19592253;Pubmed:19666503;Pubmed:19684112;Pubmed:19996169;Pubmed:20154143;Pubmed:20360384;Pubmed:20844016;Pubmed:20956384;Pubmed:21695114;Pubmed:23719536;Pubmed:24582806;Reactome-Database-ID-Release-55:5635860;Reactome:R-HSA-5635860
BiochemicalReaction7732	Complex8049;Protein1716	Complex8050	Catalysis3852	BiochemicalReaction	None	null	None	Pubmed:16421275;Pubmed:17115028;Pubmed:20818436;Reactome-Database-ID-Release-55:5635864;Reactome:R-HSA-5635864
BiochemicalReaction7722	Protein17136;SmallMolecule361	Protein17140;SmallMolecule362	Catalysis3849	BiochemicalReaction	None	null	None	Pubmed:12138125;Pubmed:17442700;Pubmed:18455992;Pubmed:18827223;Pubmed:18832070;Pubmed:19684112;Pubmed:19878745;Pubmed:19955409;Pubmed:20154143;Pubmed:20360384;Pubmed:20460306;Pubmed:20512148;Pubmed:20643644;Pubmed:21801010;Pubmed:22391301;Reactome-Database-ID-Release-55:5635841;Reactome:R-HSA-5635841
BiochemicalReaction7733	Complex8050	Complex8017;Protein1716	Catalysis3853	BiochemicalReaction	None	null	None	Pubmed:16421275;Pubmed:17115028;Pubmed:20818436;Reactome-Database-ID-Release-55:5635868;Reactome:R-HSA-5635868
BiochemicalReaction7699	Complex8019;Protein17054	Complex8020	None	BiochemicalReaction	None	null	None	Pubmed:17086203;Pubmed:21664576;Pubmed:21664577;Pubmed:22326621;Pubmed:23719536;Pubmed:8898207;Pubmed:8906787;Pubmed:8906794;Reactome-Database-ID-Release-55:5632653;Reactome:R-HSA-5632653
BiochemicalReaction7702	Protein17054;Protein17118	Complex8023	None	BiochemicalReaction	None	null	None	Pubmed:10050855;Pubmed:11841368;Pubmed:12569124;Pubmed:15019948;Pubmed:15294024;Pubmed:18559595;Pubmed:19561609;Pubmed:19561611;Pubmed:23900540;Reactome-Database-ID-Release-55:445448;Reactome:R-HSA-445448
BiochemicalReaction7700	Protein12537;Protein17054;Protein17068	Complex8021	None	BiochemicalReaction	None	null	None	Pubmed:16647304;Pubmed:17086203;Pubmed:17504941;Pubmed:18794898;Pubmed:20519495;Pubmed:20844013;Pubmed:21664576;Pubmed:21664577;Pubmed:21802063;Pubmed:22326621;Reactome-Database-ID-Release-55:5632652;Reactome:R-HSA-5632652
BiochemicalReaction7701	Protein17054;Protein17068;Protein17117	Complex8022	None	BiochemicalReaction	None	null	None	Pubmed:17504940;Pubmed:17504941;Pubmed:18794898;Pubmed:21664576;Pubmed:21664577;Pubmed:21842183;Pubmed:22326621;Reactome-Database-ID-Release-55:5632649;Reactome:R-HSA-5632649
BiochemicalReaction7723	Protein16720;Protein17140	Complex8039	None	BiochemicalReaction	None	null	None	Pubmed:19368795;Pubmed:22982193;Reactome-Database-ID-Release-55:5635845;Reactome:R-HSA-5635845
BiochemicalReaction7720	Protein17075;SmallMolecule3179	Protein17132;SmallMolecule3180	Catalysis3848	BiochemicalReaction	None	null	None	Pubmed:12050670;Pubmed:12138125;Pubmed:18455992;Pubmed:18827223;Pubmed:19878745;Pubmed:20643644;Pubmed:22391301;Reactome-Database-ID-Release-55:5635842;Reactome:R-HSA-5635842
BiochemicalReaction7730	Complex8048	Complex8043;Protein1739	Catalysis3851	BiochemicalReaction	None	null	None	Pubmed:19684112;Pubmed:19955409;Pubmed:20154143;Pubmed:20360384;Pubmed:20956384;Reactome-Database-ID-Release-55:5635854;Reactome:R-HSA-5635854
BiochemicalReaction7731	Complex8017;Protein17070	Complex8049	None	BiochemicalReaction	None	null	None	Pubmed:16421275;Pubmed:17115028;Pubmed:20818436;Reactome-Database-ID-Release-55:5635861;Reactome:R-HSA-5635861
BiochemicalReaction7721	Protein17132	Protein17136	None	BiochemicalReaction	None	null	None	Pubmed:16611981;Pubmed:19996169;Pubmed:20154143;Pubmed:20360384;Pubmed:20956384;Pubmed:23719536;Reactome-Database-ID-Release-55:5635843;Reactome:R-HSA-5635843
BiochemicalReaction7705	Complex8025	Protein15380;Protein17119	None	BiochemicalReaction	None	null	None	Pubmed:24302888;Pubmed:24925320;Reactome-Database-ID-Release-55:5635865;Reactome:R-HSA-5635865
BiochemicalReaction7706	Protein17119	Protein17120	None	BiochemicalReaction	None	null	None	Pubmed:10966113;Pubmed:16136078;Pubmed:17641202;Pubmed:18497258;Pubmed:24302888;Pubmed:24925320;Reactome-Database-ID-Release-55:5632677;Reactome:R-HSA-5632677
BiochemicalReaction7708	Complex7987;Protein15492;Protein887	Complex8026	None	BiochemicalReaction	None	null	None	Pubmed:18497258;Pubmed:23877428;Reactome-Database-ID-Release-55:5632667;Reactome:R-HSA-5632667
