yourlist:M2016041565YVM8RPRK	Entry
DDX19B	H3BMV7
DDX19B	H3BPV3
DDX19B	H3BQK0
DDX19B	H3BTX1
DDX19B	H3BUH0
DDX19B	Q2NL95
DDX19B	Q9UMR2
DDX20	E9PJ60
DDX20	Q8IYV2
DDX20	Q8NEH0
DDX20	Q8TDR3
DDX20	Q9UHI6
DDX21	Q3SWU7
DDX21	Q9NR30
DDX23	A0A024R0Z3
DDX23	F8VVA2
DDX23	F8W1J5
DDX23	H0YI52
DDX23	H0YIL9
DDX23	Q9BUQ8
DDX24	A0A087WXU8
DDX24	F5GYL3
DDX24	G3V529
DDX24	Q9GZR7
DDX25	B4YF11
DDX25	E9PR46
DDX25	H0YD26
DDX25	J3QL17
DDX25	J3QRJ6
DDX25	Q9UHL0
DDX26B	B9EIK3
DDX26B	Q5JSJ4
DDX26B	Q8N8M2
DDX27	A0A087WYH5
DDX27	A0A087X059
DDX27	B3GQE6
DDX27	B7Z6D5
DDX27	Q3MI07
DDX27	Q96GQ7
DDX28	Q9NUL7
DDX31	F8WAJ0
DDX31	Q9H8H2
DDX39A	A0A0D9SEM9
DDX39A	K7EIL8
DDX39A	K7EL56
DDX39A	K7EN69
DDX39A	K7ENP6
DDX39A	K7EPJ3
DDX39A	K7EQN7
DDX39A	O00148
DDX39B	A0A0A0MT12
DDX39B	A0A0G2JHN7
DDX39B	A0A0G2JJL7
DDX39B	A0A0G2JJZ9
DDX39B	F6QYI9
DDX39B	F6R6M7
DDX39B	F6S2B7
DDX39B	F6S4E6
DDX39B	F6SXL5
DDX39B	F6TRA5
DDX39B	F6U6E2
DDX39B	F6UJC5
DDX39B	F6WLT2
DDX39B	H0Y400
DDX39B	H0YCC6
DDX39B	Q13838
DDX39B	Q5STU3
DDX3X	A0A087WVZ1
DDX3X	A0A087WX09
DDX3X	A0A0D9SF53
DDX3X	A0A0D9SFB3
DDX3X	A0A0D9SG12
DDX3X	A0A0J9YVQ7
DDX3X	A0A0J9YYH6
DDX3X	B4DLA0
DDX3X	B5BTY4
DDX3X	O00571
DDX3Y	A0A024R9A4
DDX3Y	C9J081
DDX3Y	C9J8G5
DDX3Y	O15523
DDX4	D6RAF5
DDX4	D6RAT7
DDX4	D6RBL3
DDX4	D6RCM4
DDX4	D6RIB2
DDX4	H0Y960
DDX4	H0YBW0
DDX4	Q9NQI0
DDX41	B3KRK2
DDX41	D6RD33
DDX41	D6RGI7
DDX41	H0Y8L8
DDX41	H0YA06
DDX41	J3KNN5
DDX41	Q9UJV9
DDX42	A0A0A0MSJ0
DDX42	J3KRE3
DDX42	J3KRV0
DDX42	J3KTK9
DDX42	J3QRI2
DDX42	Q86XP3
DDX43	Q9NXZ2
DDX46	A0A0C4DG89
DDX46	D3DQA6
DDX46	D6RJA6
DDX46	H0Y9U3
DDX46	H0YAD5
DDX46	Q0VGL8
DDX46	Q7L014
DDX47	F5H1N9
DDX47	Q9H0S4
DDX49	M0QXD4
DDX49	M0QZC0
DDX49	M0R0K1
DDX49	M0R1S3
DDX49	Q9Y6V7
DDX5	A0A0G2JLI4
DDX5	B5BUE6
DDX5	J3KRX8
DDX5	J3KRZ1
DDX5	J3KTA4
DDX5	J3KTQ4
DDX5	J3QKN9
DDX5	J3QLG9
DDX5	J3QR02
DDX5	J3QR62
DDX5	J3QRN5
DDX5	J3QRQ7
DDX5	J3QS79
DDX5	J3QS97
DDX5	J3QSF1
DDX5	K7EKV0
DDX5	P17844
DDX5	X6RLV5
DDX50	A0A087WVC1
DDX50	Q9BQ39
DDX50	S4R3G6
DDX50	S4R3V4
DDX51	F1T0L5
DDX51	Q8N8A6
DDX52	A0A087WTD6
DDX52	A0A087X069
DDX52	A0A087X121
DDX52	A0A087X1P7
DDX52	Q9Y2R4
DDX53	Q86TM3
DDX54	F8VRX4
DDX54	H0YHH7
DDX54	H0YHZ9
DDX54	Q8TDD1
DDX55	A0A024RBS0
DDX55	E7EX41
DDX55	F5H2I2
DDX55	F5H5U2
DDX55	F5H735
DDX55	Q8NHQ9
DDX56	F8WDT8
DDX56	F8WEI3
DDX56	G3V0G3
DDX56	H7BZN7
DDX56	H7C3E9
DDX21,DDX56	Q9NY93
DDX58	A2A376
DDX58	L8E813
DDX58	O95786
DDX58	Q3B797
DDX59	B7ZBU3
DDX59	B7ZBU4
DDX59	H0Y6Y1
DDX59	H0Y7Z8
DDX59	Q5T1V5
DDX59	Q5T1V6
DDX59	Q5T1W1
DDX6	P26196
DDX6	Q8IV96
DDX60	D6R944
DDX60	H0Y8Z7
DDX60	H0Y9B2
DDX60	Q6B0F7
DDX60	Q8IY21
DDX60	Q9H616
DDX60L	A0A0K1H1B1
DDX60L	D6RB62
DDX60L	D6RBA2
DDX60L	D6RIU1
DDX60L	H0Y8H0
DDX60L	H0Y939
DDX60L	Q5H9U9
DEAF1	A0A0J9YWD6
DEAF1	A0A0J9YX80
DEAF1	A0A0J9YXA4
DEAF1	H0YCH1
DEAF1	H0YCY2
DECR1	A0A024R9D7
DECR1	E5RFV2
DECR1	E5RGS6
DECR1	E5RHR1
DECR1	E5RID6
DECR1	E5RJD2
DECR1	E5RJG7
DECR1	H0YAW3
DECR1	Q16698
DECR2	A0A0J9YWI0
DECR2	A0A0J9YXZ6
DECR2	A0A0J9YY83
DECR2	G3V0I9
DECR2	H7C078
DECR2	Q4VXZ8
DECR2	Q9NUI1
DEDD	B1AQP5
DEDD	O75618
DEDD	V9GY27
DEDD2	M0QXK7
DEDD2	M0QYK9
DEDD2	Q8WXF8
DEF6	B3KSI1
DEF6	H0Y7V7
DEF6	Q9H4E7
DEF8	H3BMP4
DEF8	H3BMT5
DEF8	H3BNN0
DEF8	H3BQ81
DEF8	H3BQH5
DEF8	H3BQX9
DEF8	H3BRA7
DEF8	H3BSH6
DEF8	H3BT01
DEF8	H3BT87
DEF8	H3BTS7
DEF8	L8EAV7
DEF8	Q6ZN54
DEFA1,DEFA1B	P59665
DEFA3	P59666
DEFA3	Q6EZE9
DEFA4	P12838
DEFA5	Q01523
DEF6,DEFA6	Q01524
DEFB1	P60022
DEFB103A	Q5U7J2
DEFB103A,DEFB103B	P81534
DEFB104A,DEFB104B	Q8WTQ1
DEFB105B	B2RU30
DEFB105A,DEFB105B	Q8NG35
DEFB106A,DEFB106B	Q8N104
DEFB107A,DEFB107B	Q8IZN7
DEFB108B	Q8NET1
DEFB109P1	Q30KR1
DEFB110	Q30KQ9
DEFB112	Q30KQ8
DEFB113	Q30KQ7
DEFB114	Q30KQ6
DEFB115	Q30KQ5
DEFB116	Q30KQ4
DEFB118	Q96PH6
DEFB119	Q8N690
DEFB121	Q5J5C9
DEFB123	Q8N688
DEFB124	Q8NES8
DEFB125	Q8N687
DEFB126	Q9BYW3
DEFB127	Q14DW6
DEFB127	Q9H1M4
DEFB128	Q7Z7B8
DEFB129	Q9H1M3
DEFB130	Q30KQ2
DEFB131	P59861
DEFB132	Q7Z7B7
DEFB133	Q30KQ1
DEFB134	Q4QY38
DEFB135	Q30KP9
DEFB136	Q30KP8
DEFB4A	O15263
DEGS1	A0A024R3P1
DEGS1	E7EMA0
DEGS1	O15121
DEGS2	G3V2F9
DEGS2	Q6QHC5
DEK	B4DFG0
DEK	D6R9L5
DEK	D6RDA2
DEK	H0Y8X0
DEK	H0Y993
DEK	L8EA44
DEK	P35659
DENND1A	A0A0A0MS48
DENND1A	A0A0A0MS49
DENND1A	Q8TEH3
DENND1B	B3KR95
DENND1B	B7ZBL5
DENND1B	L8EC82
DENND1B	Q6P3S1
DENND1B	Q96AX6
DENND1B	X6RAS2
DENND1C	B3KP66
DENND1C	K7EKL5
DENND1C	K7EM30
DENND1C	K7EM80
DENND1C	K7EMN9
DENND1C	K7ENM0
DENND1C	Q8IV53
DENND2A	A2RUF6
DENND2A	C9IY76
DENND2A	C9IYZ8
DENND2A	C9JAA0
DENND2A	C9JD15
DENND2A	F8WAT8
DENND2A	H7C5K8
DENND2A	Q9ULE3
DENND2C	Q68D51
DENND2D	A0A024R0G2
DENND2D	A0A024R0H5
DENND2D	Q9H6A0
DENND3	A2RUS2
DENND3	B3KRG7
DENND3	E5RH95
DENND3	E5RHH2
DENND3	E5RI43
DENND3	E5RIR7
DENND3	E5RJ42
DENND3	E9PF32
DENND3	H0YAW2
DENND3	H0YAY3
DENND3	H0YBH5
DENND3	H0YBK9
DENND3	L8E848
DENND4A	A0A0U1RR27
DENND4A	H3BSA0
DENND4A	H3BTW5
DENND4A	Q05C90
DENND4A	Q7Z401
DENND4B	E9PAK5
DENND4B	H0YEF0
DENND4B	O75064
DENND4C	A0A0A0MRX3
DENND4C	Q5VZ89
DENND4C	R4GMN2
DENND4C	R4GN35
DENND4C	R4GNB2
DENND4C	X6R5W5
DENND4C	X6RAE7
DENND5A	B4DFB6
DENND5A	E9PIS3
DENND5A	H0YCW5
DENND5A	H0YDE6
DENND5A	H0YDS8
DENND5A	H0YDV6
DENND5A	H0YE63
DENND5A	H0YEA8
DENND5A	Q6IQ26
DENND5B	F5H4A0
DENND5B	G3V1S3
DENND5B	H0YGE5
DENND5B	Q6ZUT9
DENND6A	H7C598
DENND6A	H7C5D0
DENND6A	Q8IWF6
DENND6B	H0Y7N0
DENND6B	Q8NEG7
DENR	A0A024RBR3
DENR	F8VVL1
DENR	L8E7I3
DENR	O43583
DEPDC1	E9PL61
DEPDC1	H0YES2
DEPDC1	Q5TB30
DEPDC1B	D6RDV9
DEPDC1B	D6RIB0
DEPDC1B	Q8WUY9
DEPDC4	A0A024RBI9
DEPDC4	A4FU15
DEPDC4	E9PGM3
DEPDC4	H0YI71
DEPDC4	H0YIL0
DEPDC4	Q3ZCN8
DEPDC4	Q8N2C3
DEPDC5	C9JGS4
DEPDC5	F8WAX3
DEPDC5	H0Y770
DEPDC5	H7C1T0
DEPDC5	H7C3I3
DEPDC5	O75140
DEPDC7	A0A087WW54
DEPDC7	Q96QD5
DEPTOR	Q8TB45
DERA	E9PJ44
DERA	E9PJB9
DERA	E9PMH9
DERA	E9PML7
DERA	E9PPK3
DERA	E9PPM8
DERA	G3V158
DERA	Q9Y315
DERL1	A0A024R9G3
DERL1	B2R979
DERL1	B4E1G1
DERL1	E5RGY0
DERL1	Q9BUN8
DERL2	I3L0R8
DERL2	I3L1S8
DERL2	I3L1T3
DERL2	I3L1W3
DERL2	I3L3R8
DERL2	I3L4W7
DERL2	K7EQE8
DERL2	Q9GZP9
DERL3	E7EVA4
DERL3	Q96Q80
DES	L7R9R4
DES	L7RDA5
DES	P17661
DES	Q53SB5
DES	Q5RLN0
DES	Q5RLN1
DES	Q5RLN2
DESI1	Q6ICB0
DESI2	B1APK7
DESI2	Q9BSY9
DET1	A0A024RC56
DET1	H0YK09
DET1	H0YN79
DET1	Q7L5Y6
DEXI	O95424
DFFA	A0A024R4H5
DFFA	K7ERT1
DFFA	O00273
DFFB	A0A024R4C8
DFFB	A0A0B4J1S5
DFFB	B4DZS0
DFFB	G3XAD0
DFFB	J3KT26
CAD,DFFB	O76075
DFFB	Q96P72
DFFB	Q96P73
DFFB	Q96P74
DFNA5	A0A024RA58
DFNA5	A4FTY0
DFNA5	A4FVA8
DFNA5	C9JSR4
DFNA5	H7BZJ0
DFNA5	H7C0L2
DFNA5	H7C147
DFNA5	H7C3W1
DFNA5	O60443
DFNB31	A0A0A0MRR8
DFNB31	A0A0C4DFN4
DFNB31	A0A0C4DFT9
DFNB31	B9EGE6
DFNB31	Q9P202
DFNB59	A0PK15
DFNB59	H7C1C3
DFNB59	H7C3A9
DFNB59	Q0ZLH3
DGAT1	A0A0A0MR74
DGAT1	O75907
DGAT1	Q3KQR6
DGAT1	Q9BRH5
DGAT2	Q96PD7
DGAT2	S4R383
DGAT2	S4R3S3
DGAT2	S4R3Z3
DGAT2	S4R449
DGAT2L6	Q6ZPD8
DGCR14	F8WEF8
DGCR14	Q96DF8
DGCR2	A0A087WZA8
DGCR2	B7Z3C4
DGCR2	F6SYP7
DGCR2	P98153
DGCR2	Q8IWC8
DGCR6	K7ELY4
DGCR6	K7EPQ2
DGCR6	Q14129
DGCR6	Q6FGH4
DGCR6	X5D7D2
DGCR6	X5D9I2
DGCR6	X5DP20
DGCR6	X5DP66
DGCR6	X5DRE8
DGCR6L	B5MCQ4
DGCR6L	F8WCX1
DGCR6L	Q9BY27
DGCR8	C9JSD5
DGCR8	L8E8Q8
DGCR8	Q8WYQ5
DGKA	A0A024RB23
DGKA	C9JM35
DGKA	F8VNZ9
DGKA	F8VWX8
DGKA	F8W1H7
DGKA	F8W1M3
DGKA	G3V312
DGKA	G3V327
DGKA	G3V4E1
DGKA	G3V4I3
DGKA	H0YJE7
DGKA	H0YJH4
DGKA	P23743
DGKB	B5MBY2
DGKB	B5MCD5
DGKB	B7ZL83
DGKB	C9JA18
DGKB	Q9Y6T7
DGKD	A0A024R495
DGKD	A0A087WUZ9
DGKD	A0A096LNI6
DGKD	C9JY42
DGKD	H7BZR7
DGKD	H7C0L1
DGKD	Q16760
DGKD	Q53SE4
DGKD	Q53SV4
DGKE	A1L4Q0
DGKE	I3L112
DGKE	I3L2V2
DGKE	P52429
DGKG	H7C0L0
DGKG	P49619
DGKG	Q2M589
DGKH	A0A087WZ02
DGKH	A0A0D9SF65
DGKH	A0A0D9SFR6
DGKH	Q86XP1
DGKI	A0A087WV00
DGKI	E7EM72
DGKI	E7EWQ4
DGKI	E9PFX6
DGKI	O75912
DGKK	L8EC67
DGKK	Q5KSL6
DGKQ	D6RJB4
DGKQ	H0Y8Q7
DGKQ	H0YA20
DGKQ	P52824
DGKZ	E9PK94
DGKZ	E9PKT3
DGKZ	E9PNL8
DGKZ	E9PNZ3
DGKZ	H0YDN6
DGKZ	H0YEG2
DGKZ	Q13574
DGKZ	Q7Z5X8
DGUOK	A0A0S2Z3N1
DGUOK	A0A0S2Z3T7
DGUOK	E5KSL5
DGUOK	Q16854
DGUOK	Q9BVK7
DHCR24	H7C4B7
DHCR24	Q15392
DHCR24	Q3LIE7
DHCR7	A0A024R5F7
DHCR7	A0A0S2Z3N8
DHCR7	A0A0S2Z3S3
DHCR7	A0A0S2Z3U5
DHCR7	E9PIP9
DHCR7	E9PJ54
DHCR7	E9PLZ2
DHCR7	E9PM00
DHCR7	E9PQ71
DHCR7	E9PRL8
DHCR7	H0YCS7
DHCR7	H0YE57
DHCR7	H0YEJ5
DHCR7	Q9UBM7
DHCR7	X5D9E1
DHCR7	X5DNI9
DHCR7	X5DRD7
DHDDS	E9PI09
DHDDS	E9PI64
DHDDS	E9PKJ5
DHDDS	E9PL99
DHDDS	E9PR24
DHDDS	E9PRS7
DHDDS	E9PSH7
DHDDS	H0Y4T1
DHDDS	Q5T0A0
DHDDS	Q5T0A1
DHDDS	Q5T0A2
DHDDS	Q5T0A3
DHDDS	Q5T0A6
DHDDS	Q86SQ9
DHDH	E5RFE0
DHDH	E5RGT8
DHDH	H0YBU7
DHDH	Q9UQ10
DHFR	A0A024RAQ3
DHFR	B0YJ76
DHFR	B4DM58
DHFR	P00374
DHFRL1	C9JJ68
DHFRL1	Q86XF0
DHH	F6KSZ4
DHH	F6KSZ5
DHH	O43323
DHODH	I3L449
DHODH	I3NI32
DHODH	J3QRJ4
DHODH	J3QRQ3
DHODH	Q02127
DHPS	A0A024R7D0
DHPS	A0A024R7E9
DHPS	A0A024R7G5
DHPS	A0A087WZK0
DHPS	B4E3M2
DHPS	M0QX43
DHPS	M0QXT2
DHPS	M0QYZ7
DHPS	M0QZT3
DHPS	M0R0J4
DHPS	M0R0V2
DHPS	M0R1T2
DHPS	M0R1T4
DHPS	M0R253
DHPS	M0R264
DHPS	P49366
DHPS	Q5J8M5
DHRS1	H0YNC2
DHRS1	L0R4X0
DHRS1	Q96LJ7
DHRS11	A0A087WYV4
DHRS11	A0A087WZN3
DHRS11	A0A087X0R1
DHRS11	Q6UWP2
DHRS12	A0A087WUE0
DHRS12	A0PJE2
DHRS13	Q6UX07
DHRS2	C9JZP6
DHRS2	H0YJG9
DHRS2	H0YJP4
DHRS2	Q13268
DHRS3	A0A087WTY3
DHRS3	O75911
DHRS3	Q0QD44
DHRS3	Q5SUY4
DHRS4	F5GWZ1
DHRS4	H0YNP7
DHRS4	Q9BTZ2
DHRS4-AS1	Q9P1J3
DHRS4L2	A0A087WSZ6
DHRS4L2	A0A087WXI8
DHRS4L2	D3YTE6
DHRS4L2	D5KJA1
DHRS4L2	D5KJA2
DHRS4L2	E9PFL3
DHRS4L2	F5H660
DHRS4L2	F6TD35
DHRS4L2	F6VUV4
DHRS4L2	H0YKN3
DHRS4L2	H0YLE1
DHRS4L2	H0YN69
DHRS4L2	Q6E0Y0
DHRS4L2	Q6PKH6
DHRS7	A0A087X0Z7
DHRS7	G3V5J0
DHRS7	H0YJ66
DHRS7	H0YJE4
DHRS7	H0YJR8
DHRS7	Q9Y394
DHRS7B	A0A0C4DGQ8
DHRS7B	J3KRS1
DHRS7B	J3QKT1
DHRS7B	J3QLJ8
DHRS7B	J3QLK1
DHRS7B	Q6IAN0
DHRS7C	A6NNS2
DHRS7C	I3NI52
DHRS9	C9J430
DHRS9	Q9BPW9
DHRSX	C9JB06
DHRSX	C9JRH1
DHRSX	H7C5T6
DHRSX	H7C613
DHRSX	Q8N5I4
DHTKD1	C9JWN1
DHTKD1	H7C149
DHTKD1	H7C1J3
DHTKD1	Q96HY7
DHX15	O43143
DHX16	A2AB15
DHX16	O60231
DHX16	Q5SQH4
DHX16	Q5SQH5
DHX16	Q6PKC8
DHX29	A0A087WYN9
DHX29	H0Y8L1
DHX29	Q7Z478
DHX30	A0A024R2T6
DHX30	F6R0H4
DHX30	H7BXY3
DHX30	Q7L2E3
DHX32	Q7L7V1
DHX32	X6R717
DHX32	X6RHK1
DHX33	I3L0M5
DHX33	I3L1L6
DHX33	Q05BE5
DHX33	Q9H6R0
DHX34	A0A024R0R8
DHX34	H7C504
DHX34	Q14147
DHX35	F2Z2Z2
DHX35	Q5THQ7
DHX35	Q5THR1
DHX35	Q9H5Z1
DHX36	A0A0G2JQU7
DHX36	A0A0G2JRP3
DHX36	E7EWK3
DHX36	H7C514
DHX36	H7C5F5
DHX36	Q9H2U1
DHX37	F5H3Y4
DHX37	F5H8E1
DHX37	Q6IPP7
DHX37	Q8IY37
DHX38	B4DM30
DHX38	H3BMS7
DHX38	H3BQT9
DHX38	H3BV01
DHX38	J3KRT1
DHX38	J3KSA8
DHX38	J3KTG2
DHX38	Q92620
DHX40	F5H625
DHX40	J3KS08
DHX40	J3KSW6
DHX40	J3KSX9
DHX40	J3KTK0
DHX40	L8EAD7
DHX40	Q8IX18
DHX57	A0A087WW12
DHX57	A0A087WZ11
DHX57	H7BZ23
DHX57	H7C109
DHX57	L8ECP8
DHX57	Q6P158
DHX57	Q8N4U2
DHX58	C9JE76
DHX58	C9JG98
DHX58	K7EMZ5
DHX58	K7EPP0
DHX58	Q96C10
DHX8	F5H658
DHX8	K7EJH9
DHX8	K7END7
DHX8	K7EQH7
DHX8	Q05CV4
DHX8	Q14562
DHX8	Q86X36
DHX8	Q86YB2
DHX9	Q08211
DHX9	Q58F26
DHX9	Q6PJK6
DIABLO	A0A024RBT2
DIABLO	A0A0S2Z5P6
DIABLO	A0A0S2Z5U7
DIABLO	F5GX50
DIABLO	F5GXT8
DIABLO	F5GYH3
DIABLO	F5H0Q4
DIABLO	F5H796
DIABLO	F8W6K8
DIABLO	H7BZK7
DIABLO	H7BZQ7
DIABLO	K7X1S0
DIABLO	Q502X2
DIABLO	Q9NR28
DIAPH1	A0A0G2JH68
DIAPH1	A0RZB7
DIAPH1	A0RZB8
DIAPH1	B4E2I7
DIAPH1	E5RJ79
DIAPH1	H7C2W8
DIAPH1	H9KV28
DIAPH1	O60610
DIAPH1	Q96IL1
DIAPH2	A6NML8
DIAPH2	B7ZLJ0
DIAPH2	C9J6U3
DIAPH2	K4DI95
DIAPH2	O60879
DIAPH2	Q17R91
DIAPH3	Q9NSV4
DICER1	H0YJZ6
DICER1	Q5D0K5
DICER1	Q9UPY3
DIDO1	Q9BTC0
DIEXF	H7C2R4
DIEXF	Q68CQ4
DIMT1	A0A0C4DGB1
DIMT1	D6RCL3
DIMT1	Q9UNQ2
DIO1	A0A087WVX4
DIO1	A0A087WYB0
DIO1	A0A087X0G2
DIO1	A8K415
DIO1	C6ZRC2
DIO1	D3DQ42
DIO1	E9PI35
DIO1	E9PM07
DIO1	E9PNR3
DIO1	P49895
DIO2	A0A024R6H2
DIO2	A0A024R6J8
DIO2	A0A0A0MTQ2
DIO2	G3V2A7
DIO2	G3V3A8
DIO2	H0YJ42
DIO2	H0YJQ8
DIO2	J3KQY5
DIO2	Q92813
DIO2	Q9C0K2
DIO2	Q9NZL0
DIO3	P55073
DIP2A	Q14689
DIP2B	H0YIU5
DIP2B	Q96IB4
DIP2B	Q9P265
DIP2C	A0A0U1RQW6
DIP2C	E7EPU2
DIP2C	H0Y5A8
DIP2C	H0Y7Q3
DIP2C	Q86XV3
DIP2C	Q9Y2E4
DIRAS1	K7EN06
DIRAS1	O95057
DIRAS2	L8ECH1
DIRAS2	Q96HU8
DIRAS3	O95661
DIRC1	Q969H9
DIRC2	Q05BS2
DIRC2	Q96SL1
DIRC3	C9JPN6
DIS3	F2Z2C0
DIS3	G3V1J5
DIS3	Q49AG4
DIS3	Q9Y2L1
DIS3L	E9PI20
DIS3L	E9PI27
DIS3L	E9PIL0
DIS3L	E9PKI7
DIS3L	E9PS35
DIS3L	L8E9K1
DIS3L	Q8TF46
DIS3L2	C9JGP4
DIS3L2	H7C036
DIS3L2	H7C1Q8
DIS3L2	H7C302
DIS3L2	H7C440
DIS3L2	Q8IYB7
DISC1	A0A075B6Q7
DISC1	A0A087WYX6
DISC1	A7E2W8
DISC1	C4P092
DISC1	C4P093
DISC1	C4P094
DISC1	C4P096
DISC1	C4P098
DISC1	C4P0A0
DISC1	C4P0A4
DISC1	C4P0A5
DISC1	C4P0A9
DISC1	C4P0B0
DISC1	C4P0B1
DISC1	C4P0B2
DISC1	C4P0C4
DISC1	C4P0C7
DISC1	C4P0C8
DISC1	C4P0D0
DISC1	C4P0D1
DISC1	C4P0D2
DISC1	C4P0D3
DISC1	C4P0D4
DISC1	C4P0D6
DISC1	C4P0D8
DISC1	H0Y7U2
DISC1	Q5T409
DISC1	Q9NRI2
DISC1	Q9NRI5
DISC1	X5DQV8
DISP1	Q3B776
DISP1	Q96F81
DISP2	A7MBM2
DIXDC1	A0A087WVH1
DIXDC1	Q155Q3
DKC1	C9IYT0
DKC1	H7BZF2
DKC1	H7C0M1
DKC1	H7C2Q2
DKC1	H7C2Q9
DKC1	O60832
DKC1	O95940
DKFZP434A062	Q9Y4N2
DKFZP434I0714	Q9NTH0
DKFZP586I1420	A0A090N8G2
DKFZP779M0652	Q6N098
DKK1	I1W660
DKK1	O94907
DKK2	D6RCC2
DKK2	D6RGF1
DKK2	Q9H3R7
DKK2	Q9UBU2
DKK3	D3DQW3
DKK3	E9PHY3
DKK3	E9PKK9
DKK3	E9PKW6
DKK3	F6SYF8
DKK3	Q6PQ81
DKK3	Q9UBP4
DKK4	Q9UBT3
DKKL1	M0QYJ2
DKKL1	M0QZP1
DKKL1	M0R1E5
DKKL1	M0R1Q7
DKKL1	M0R2X7
DKKL1	Q9UK85
DLAT	A0A024R3D8
DLAT	E9PEJ4
DLAT	E9PKC7
DLAT	H0YDD4
DLAT	P10515
DLAT	Q86YI5
DLC1	A0A0J9YWS8
DLC1	E5RI70
DLC1	Q45XF9
DLC1	Q96QB1
DLC1	R4GMP5
DLD	A0A024R713
DLD	E9PEX6
DLD	F2Z2E3
DLD	F8WDM5
DLD	F8WDY5
DLD	P09622
DLEC1	A1L305
DLEC1	A2VDF1
DLEC1	B1B5Y4
DLEC1	B7ZW06
DLEC1	Q32W76
DLEC1	Q32W77
DLEC1	Q32W78
DLC1,DLEC1	Q9Y238
DLEU1	A0A087X0D4
DLEU1	O43261
DLEU1	Q6ICR8
DLEU7	Q6UYE1
DLG1	A0A0C4DFT3
DLG1	A8MUT6
DLG1	B4E2H8
DLG1	C9IYP1
DLG1	C9J110
DLG1	C9JCP6
DLG1	C9JN61
DLG1	C9JUA9
DLG1	E7EQD7
DLG1	F2Z2L0
DLG1	H7C166
DLG1	L8E7Z2
DLG1	Q12959
DLG1	Q6PJH1
DLG2	A8MUT9
DLG2	A8MVA8
DLG2	B5MCC5
DLG2	B7Z264
DLG2	B7Z2T4
DLG2	C9JFF9
DLG2	E9PIJ9
DLG2	E9PIW2
DLG2	E9PN83
DLG2	E9PPV7
DLG2	E9PQT9
DLG2	E9PRL2
DLG2	E9PRX3
DLG2	F8W750
DLG2	H7C325
DLG2	L8E8R0
DLG2	Q15700
DLG2	Q6ZSU2
DLG2	X5DRL5
DLG3	Q5JUW8
DLG3	Q92796
DLG4	B7Z647
DLG4	B9EGL1
DLG4	C9JWP9
DLG4	C9JYG3
DLG4	K7EKP9
DLG4	K7EKU8
DLG4	K7EQM6
DLG4	O14909
DLG4	P78352
DLG4	Q3ZCU5
DLG5	A0A0A0MSL1
DLG5	A0A0J9YYG8
DLG5	L8EAB8
DLG5	Q8TDM6
DLG5	R4GMQ2
DLGAP1	A0A0A0MTP4
DLGAP1	A8MXQ8
DLGAP1	A8MYR7
DLGAP1	O14490
DLGAP1	Q6IS01
DLGAP2	A0A0G2JLW6
DLGAP2	A0A0G2JPE0
DLGAP2	A0A0J9YVY4
DLGAP2	A0A0J9YWL8
DLGAP2	A0A0J9YX70
DLGAP2	A0A0J9YY16
DLGAP2	A0A0J9YY63
DLGAP2	H0YBY6
DLGAP2	Q9P1A6
DLGAP2	X5D8Z1
DLGAP4	A0A087WWE6
DLGAP4	A0A087X246
DLGAP4	A0A0B4J2C2
DLGAP4	F8WF49
DLGAP4	Q9Y2H0
DLGAP5	G3V4E5
DLGAP5	G3V543
DLGAP5	Q15398
DLK1	A0A024R6L1
DLK1	G3V2R7
DLK1	G3XAH5
DLK1	P80370
DLK1	Q0H2C6
DLK1	Q45KX0
DLK1	Q4U3E1
DLK1	Q969Y6
DLK2	H0Y5P1
DLK2	Q5T3T9
DLK2	Q6UY11
DLL1	A0A0D9SF76
DLL1	O00548
DLL3	M0R177
DLL3	Q9NYJ7
DLL4	Q9NR61
DLST	A0A024R6C9
DLST	B7ZAZ8
DLST	G3V3F0
DLST	G3V498
DLST	G3V5L9
DLST	G3V5M3
DLST	H0YJF9
DLST	P36957
DLST	Q6IBS5
DLST	Q86SW4
DLST	Q86TQ8
DLST	Q86TW7
DLX1	F8VXJ2
DLX1	J3KP55
DLX1	P56177
DLX1	Q53SU3
DLX1	X5D2F9
DLX2	Q07687
DLX2	Q53QU7
DLX2	X5D7D8
DLX3	F8VXG1
DLX3	O60479
DLX4	Q92988
DLX5	P56178
DLX5	Q53Y73
DLX6	G3V471
DLX6	P56179
DMAP1	Q5TG36
DMAP1	Q5TG37
DMAP1	Q5TG38
DMAP1	Q5TG39
DMAP1	Q5TG40
DMAP1	Q9NPF5
DMBT1	B6V682
DMBT1	L8E969
DMBT1	Q9UGM3
DMBX1	Q8NFW5
DMC1	B0QYE0
DMC1	B0QYE1
DMC1	Q14565
DMC1	Q8IYL1
DMD	A0A075B6G3
DMD	A0A087WTU7
DMD	A0A087WV90
DMD	A0A0B4J1W6
DMD	A0A0C4DH61
DMD	A0A0S2Z3B2
DMD	A0A0S2Z3B5
DMD	A0A0S2Z3J7
DMD	A0A0S2Z3M6
DMD	A1L0U9
DMD	A7E212
DMD	B4DSV7
DMD	E7EQR9
DMD	E7EQS5
DMD	E7ESB2
DMD	E9PDN5
DMD	F1CFE6
DMD	F2WSI7
DMD	F5GZY3
DMD	F8VX32
DMD	H0Y304
DMD	H0Y3E8
