yourlist:M2016041565YVM8RPRK	Entry
ABCB4	A7J1R3
ABCB4	A7J1R4
ABCB4	A7J1R5
ABCB4	A7J1R6
ABCB4	A7J1R7
ABCB4	A7J1R8
ABCB4	A7J1R9
ABCB4	A7J1S0
ABCB4	A7J1S1
ABCB4	A7J1S2
ABCB4	A7J1S3
ABCB4	A7J1S4
ABCB4	A7J1S5
ABCB4	A7K6Y6
ABCB4	A8HT68
ABCB4	A8HT72
ABCB4	E5LR39
ABCB4	E7EQI1
ABCB4	H7C0M2
ABCB4	P21439
ABCB4	Q4G0Q4
ABCB4	Q6PJ81
ABCB4	Q75MQ5
ABCB4	V5N6U4
ABCB5	A0ASV4
ABCB5	H7C165
ABCB5	Q2M3G0
ABCB6	A0A024R436
ABCB6	H7BXK9
ABCB6	H7C049
ABCB6	H7C1R6
ABCB6	H7C245
ABCB6	H7C3Z0
ABCB6	Q9NP58
ABCB6	U3TD89
ABCB6	U3TGG4
ABCB6	U3THN0
ABCB6	U3THP2
ABCB6	U3TJJ6
ABCB6	U3TJK0
ABCB7	A0A087WW65
ABCB7	A0A0S2Z2W5
ABCB7	A0A0S2Z2Z3
ABCB7	A0A0S2Z367
ABCB7	A0A0S2Z376
ABCB7	B4DGL8
ABCB7	E9PJR8
ABCB7	E9PNQ5
ABCB7	O75027
ABCB8	C9JA03
ABCB8	C9JTY4
ABCB8	C9JYI3
ABCB8	F2Z2Z1
ABCB8	F2Z3G8
ABCB8	F8WC43
ABCB8	H7C5K9
ABCB8	L8EAK9
ABCB8	Q9NUT2
ABCB9	A0A024RBU1
ABCB9	F5GX86
ABCB9	F5GXZ5
ABCB9	F5GYI2
ABCB9	F5H0G0
ABCB9	F5H4Y2
ABCB9	F5H5F9
ABCB9	F5H5I5
ABCB9	F5H5Q0
ABCB9	F5H7U2
ABCB9	H7C478
ABCB9	Q6P2Q0
ABCB9	Q9NP78
ABCC10	A0A024RD21
ABCC10	D6R9B3
ABCC10	H0Y904
ABCC10	Q5T3U5
ABCC11	A0A024R6Q6
ABCC11	A0A024R6R9
ABCC11	H3BRJ2
ABCC11	Q96J66
ABCC12	A0A024R6Q5
ABCC12	B4DYN2
ABCC12	E9PHY2
ABCC12	Q96J65
ABCC13	Q9NSE7
ABCC2	Q5TCZ5
ABCC2	Q92887
ABCC3	D3DTY0
ABCC3	D6RAB7
