#hypernode	nodes
Protein2737	Protein2737
Protein2734	Protein2734
Protein2735	Protein2735
Protein1748	Protein1748
Protein1749	Protein1749
Protein17110	Protein17110
Protein1742	Protein1742
Protein1743	Protein1743
Protein1740	Protein1740
Protein1741	Protein1741
Protein1746	Protein1746
Protein1747	Protein1747
Protein1744	Protein1744
Protein1745	Protein1745
Protein2545	Protein2545
Protein17037	Protein17037
Protein17034	Protein17034
Protein17035	Protein17035
Protein2541	Protein2541
Protein17033	Protein17033
Protein17030	Protein17030
Protein17031	Protein17031
Dna308	Dna308
Protein2524	Protein2524
Protein2709	Protein2709
Protein2708	Protein2708
Protein2549	Protein2549
Protein2548	Protein2548
Protein17038	Protein17038
Protein17039	Protein17039
Protein17054	Protein17054
Protein17055	Protein17055
Protein17056	Protein17056
Protein17057	Protein17057
Protein17050	Protein17050
Protein17051	Protein17051
Protein17052	Protein17052
Protein17053	Protein17053
Protein7280	Protein7280
Protein1752	Protein1752
Protein17058	Protein17058
Protein17059	Protein17059
Protein15492	Protein15492
Protein1739	Protein1739
Protein7269	Protein7269
Protein7268	Protein7268
Protein15380	Protein15380
SmallMolecule362	SmallMolecule362
Protein15095	Protein15095
SmallMolecule1223	SmallMolecule1223
Protein7266	Protein7266
SmallMolecule363	SmallMolecule363
Protein8965	Protein8965
Protein17090	Protein17090
Protein8967	Protein8967
Protein8966	Protein8966
SmallMolecule357	SmallMolecule357
Protein1567	Protein1567
Protein17091	Protein17091
Protein2550	Protein2550
Protein2551	Protein2551
Protein1489	Protein1489
Protein8968	Protein8968
Protein1730	Protein1730
Protein2710	Protein2710
Protein2527	Protein2527
Protein2712	Protein2712
Protein2713	Protein2713
Protein2714	Protein2714
Protein2522	Protein2522
Protein2716	Protein2716
Protein2526	Protein2526
Protein17029	Protein17029
Protein2719	Protein2719
Protein2525	Protein2525
Dna311	Dna311
Dna310	Dna310
Protein17047	Protein17047
Protein17046	Protein17046
Protein887	Protein887
Protein17044	Protein17044
Protein17043	Protein17043
Protein17042	Protein17042
Protein17041	Protein17041
Protein17040	Protein17040
Protein2523	Protein2523
Protein17036	Protein17036
Protein17049	Protein17049
Protein17048	Protein17048
Protein7278	Protein7278
Protein8929	Protein8929
Protein17101	Protein17101
Protein1565	Protein1565
Protein1722	Protein1722
Protein1810	Protein1810
Protein7270	Protein7270
Protein1490	Protein1490
Protein2520	Protein2520
Protein7275	Protein7275
Dna306	Dna306
SmallMolecule364	SmallMolecule364
Protein1728	Protein1728
Protein1729	Protein1729
Protein2529	Protein2529
Protein2528	Protein2528
Protein1724	Protein1724
Protein1725	Protein1725
Protein1726	Protein1726
Protein1727	Protein1727
Protein1720	Protein1720
Protein1721	Protein1721
Protein2521	Protein2521
Protein1723	Protein1723
Protein2725	Protein2725
Protein2706	Protein2706
Protein2727	Protein2727
Protein17152	Protein17152
Protein2721	Protein2721
Protein17118	Protein17118
Protein2723	Protein2723
Protein2722	Protein2722
Protein17115	Protein17115
Protein17119	Protein17119
